id,model,temperature,seed,timestamp,control_options,control_option_order,control_answer,control_extraction,control_decision,treatment_options,treatment_option_order,treatment_answer,treatment_extraction,treatment_decision,status,error_message,bias
0,gpt-4o-2024-08-06,0.0,43,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a quality assurance manager at a company in the semiconductors & semiconductor equipment industry.
You allocate a portion of the testing equipment resources to implement the new testing protocol designed to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
1,gpt-4o-2024-08-06,0.0,44,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a quality assurance manager at a semiconductor company.
You allocate a portion of the testing equipment usage time exclusively to the new testing protocol to assess its effectiveness in improving product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
2,gpt-4o-2024-08-06,0.0,45,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a quality assurance manager at a semiconductor manufacturing company.
You determine the proportion of total testing resources to allocate towards the implementation of the new testing protocol to improve product reliability.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
3,gpt-4o-2024-08-06,0.0,46,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a quality assurance manager at a semiconductor manufacturing company.
You allocate a portion of the testing team's time to conduct additional reliability assessments on newly produced chips.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
4,gpt-4o-2024-08-06,0.0,47,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a quality assurance manager at a leading semiconductor manufacturing company.
You determine the percentage of the testing team’s working hours to be dedicated to implementing and refining the new testing protocol.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
5,gpt-4o-2024-08-06,0.0,48,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a customer service manager at a consumer durables & apparel company.
You allocate a percentage of the customer feedback budget to implement a new real-time feedback analysis tool.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
6,gpt-4o-2024-08-06,0.0,49,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a customer service manager at XYZ Consumer Goods.
You allocate a portion of the budget to upgrade the customer feedback system.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
7,gpt-4o-2024-08-06,0.0,50,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a customer service manager at a company in the consumer durables & apparel industry.
You allocate a portion of the department's budget to upgrade the customer feedback system software to improve data analysis capabilities and response times.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
8,gpt-4o-2024-08-06,0.0,51,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a customer service manager at a company in the consumer durables & apparel industry.
You allocate a portion of the customer service team's working hours to analyze and implement improvements based on customer feedback.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
9,gpt-4o-2024-08-06,0.0,52,2025-04-06 19:50:15,,,,,,,,,,,ERROR,"Could not obtain a decision from the model to the following prompt:

You will be given a decision-making task with multiple answer options.
Situation:
Suppose you are a customer service manager at a consumer durables & apparel company.
You decide how much of the budget should be allocated to enhancing the customer feedback process.

Prompt:
Which allocation level do you choose for this purpose?

Answer Options:
Option 1: 100%
Option 2: 90%
Option 3: 80%
Option 4: 70%
Option 5: 60%
Option 6: 50%
Option 7: 40%
Option 8: 30%
Option 9: 20%
Option 10: 10%
Option 11: 0%

Select exactly one option.

module 'openai' has no attribute 'chat'",Anchoring
